[2021.11.16 10:18:12.652] channelNo = 2, DoRelayBoxInsulationCheck(), #1
[2021.11.16 10:18:12.654] channelNo = 2, DoRelayBoxInsulationCheck(), start
[2021.11.16 10:18:12.656] channelNo = 2, DoRelayBoxInsulationCheck(), wait passed...
[2021.11.16 10:18:12.659] channelNo = 2, DoRelayBoxInsulationCheck(), GetCurrentMode[1] = Error
[2021.11.16 10:18:12.660] channelNo = 2, DoRelayBoxInsulationCheck(), GetCurrentMode[2] = Error
[2021.11.16 10:18:12.661] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #1
[2021.11.16 10:18:13.045] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #3
[2021.11.16 10:18:16.054] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #5
[2021.11.16 10:18:17.062] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #6
[2021.11.16 10:18:17.065] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #7
[2021.11.16 10:18:17.066] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #8
[2021.11.16 10:18:20.065] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #10
[2021.11.16 10:18:21.088] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #11
[2021.11.16 10:18:21.089] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #12
[2021.11.16 10:18:21.090] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #13
[2021.11.16 10:18:23.070] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #15
[2021.11.16 10:18:23.070] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #16
[2021.11.16 10:18:23.071] channelNo = 2, Devices.PNECTSInstance.ConnectionState = Disconnected
[2021.11.16 10:23:22.537] channelNo = 2, DoRelayBoxInsulationCheck(), #1
[2021.11.16 10:23:22.538] channelNo = 2, DoRelayBoxInsulationCheck(), start
[2021.11.16 10:23:22.539] channelNo = 2, DoRelayBoxInsulationCheck(), wait passed...
[2021.11.16 10:23:22.540] channelNo = 2, DoRelayBoxInsulationCheck(), GetCurrentMode[1] = Error
[2021.11.16 10:23:22.541] channelNo = 2, DoRelayBoxInsulationCheck(), GetCurrentMode[2] = Error
[2021.11.16 10:23:22.541] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #1
[2021.11.16 10:23:23.213] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #3
[2021.11.16 10:23:26.212] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #5
[2021.11.16 10:23:27.215] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #6
[2021.11.16 10:23:27.216] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #7
[2021.11.16 10:23:27.237] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #8
[2021.11.16 10:23:30.234] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #10
[2021.11.16 10:23:31.236] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #11
[2021.11.16 10:23:31.236] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #12
[2021.11.16 10:23:31.251] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #13
[2021.11.16 10:23:33.228] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #15
[2021.11.16 10:23:33.229] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #16
[2021.11.16 10:23:33.230] channelNo = 2, Devices.PNECTSInstance.ConnectionState = Disconnected
[2021.11.16 11:05:37.731] channelNo = 2, DoRelayBoxInsulationCheck(), #1
[2021.11.16 11:05:37.733] channelNo = 2, DoRelayBoxInsulationCheck(), start
[2021.11.16 11:05:37.735] channelNo = 2, DoRelayBoxInsulationCheck(), wait passed...
[2021.11.16 11:05:37.737] channelNo = 2, DoRelayBoxInsulationCheck(), GetCurrentMode[1] = Error
[2021.11.16 11:05:37.738] channelNo = 2, DoRelayBoxInsulationCheck(), GetCurrentMode[2] = Error
[2021.11.16 11:05:37.738] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #1
[2021.11.16 11:05:38.222] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #3
[2021.11.16 11:05:41.225] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #5
[2021.11.16 11:05:42.231] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #6
[2021.11.16 11:05:42.233] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #7
[2021.11.16 11:05:42.235] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #8
[2021.11.16 11:05:45.226] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #10
[2021.11.16 11:05:46.232] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #11
[2021.11.16 11:05:46.233] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #12
[2021.11.16 11:05:48.235] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #15
[2021.11.16 11:05:48.236] channelNo = 2, DoRelayBoxInsulationCheck(), BBB #16
[2021.11.16 11:05:48.237] channelNo = 2, Devices.PNECTSInstance.ConnectionState = Disconnected
