[2021.11.16 10:10:08.924] RELAY_BOX was created
[2021.11.16 10:10:38.029] [RELAY_BOX] opening CAN : COM9
[2021.11.16 10:10:38.148] [RELAY_BOX] OpenCAN Success
[2021.11.16 10:10:38.380] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 FD 
[2021.11.16 10:10:38.589] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 FE 
[2021.11.16 10:10:38.788] [Recv] CANID: 0x14180200, 00 00 00 00 00 00 00 01 
[2021.11.16 10:10:38.801] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:38.812] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 FF 
[2021.11.16 10:10:38.985] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 00 
[2021.11.16 10:10:39.181] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 01 
[2021.11.16 10:10:39.385] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 02 
[2021.11.16 10:10:39.583] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 03 
[2021.11.16 10:10:39.786] [Recv] CANID: 0x14180201, 22 08 00 01 01 01 07 D0 
[2021.11.16 10:10:39.797] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.16 10:10:39.808] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 04 
[2021.11.16 10:10:39.982] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 05 
[2021.11.16 10:10:40.187] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 06 
[2021.11.16 10:10:40.384] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 07 
[2021.11.16 10:10:40.582] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 08 
[2021.11.16 10:10:40.788] [Recv] CANID: 0x14180202, 45 53 49 30 32 37 30 31 
[2021.11.16 10:10:40.799] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
