[2021.11.18 10:12:32.003] RELAY_BOX was created
[2021.11.18 10:13:00.895] [RELAY_BOX] opening CAN : COM9
[2021.11.18 10:13:02.241] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 24 
[2021.11.18 10:13:02.252] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 25 
[2021.11.18 10:13:02.263] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 26 
[2021.11.18 10:13:02.274] [Recv] CANID: 0x14180200, 00 00 00 00 00 00 00 01 
[2021.11.18 10:13:02.285] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:02.296] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 27 
[2021.11.18 10:13:02.307] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 28 
[2021.11.18 10:13:02.318] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 29 
[2021.11.18 10:13:02.329] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 2A 
[2021.11.18 10:13:02.340] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 2B 
[2021.11.18 10:13:02.351] [Recv] CANID: 0x14180201, 0A 00 00 01 01 01 07 D0 
[2021.11.18 10:13:02.362] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:02.373] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 2C 
[2021.11.18 10:13:02.384] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 2D 
[2021.11.18 10:13:02.396] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 2E 
[2021.11.18 10:13:02.406] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 2F 
[2021.11.18 10:13:02.419] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 30 
[2021.11.18 10:13:02.430] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:02.441] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 3B 
[2021.11.18 10:13:02.452] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 3C 
[2021.11.18 10:13:02.463] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 3D 
[2021.11.18 10:13:02.474] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 3E 
[2021.11.18 10:13:02.485] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 3F 
[2021.11.18 10:13:02.496] [Recv] CANID: 0x14180205, 00 00 00 00 00 00 00 00 
[2021.11.18 10:13:02.507] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:02.518] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 40 
[2021.11.18 10:13:02.529] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 41 
[2021.11.18 10:13:02.540] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 42 
[2021.11.18 10:13:02.551] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 43 
[2021.11.18 10:13:02.562] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 44 
[2021.11.18 10:13:02.573] [Recv] CANID: 0x14180206, 00 00 00 01 05 05 00 00 
[2021.11.18 10:13:02.584] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:02.595] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 45 
[2021.11.18 10:13:02.606] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 46 
[2021.11.18 10:13:02.617] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 47 
[2021.11.18 10:13:02.628] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 48 
[2021.11.18 10:13:02.639] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 49 
[2021.11.18 10:13:02.650] [Recv] CANID: 0x14180200, 00 00 00 00 00 00 00 01 
[2021.11.18 10:13:02.661] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:02.672] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 4A 
[2021.11.18 10:13:02.683] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 4B 
[2021.11.18 10:13:02.694] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 4C 
[2021.11.18 10:13:02.705] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 4D 
[2021.11.18 10:13:02.716] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 4E 
[2021.11.18 10:13:02.727] [Recv] CANID: 0x14180201, 11 00 00 01 01 01 07 D0 
[2021.11.18 10:13:02.738] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:02.749] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 4F 
[2021.11.18 10:13:02.760] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 50 
[2021.11.18 10:13:02.771] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 51 
[2021.11.18 10:13:02.782] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 52 
[2021.11.18 10:13:02.793] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 53 
[2021.11.18 10:13:02.804] [Recv] CANID: 0x14180202, 45 53 49 30 32 37 30 31 
[2021.11.18 10:13:02.815] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:02.826] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 54 
[2021.11.18 10:13:02.837] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 55 
[2021.11.18 10:13:02.848] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 56 
[2021.11.18 10:13:02.859] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 57 
[2021.11.18 10:13:02.870] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 58 
[2021.11.18 10:13:02.881] [Recv] CANID: 0x14180203, 00 00 00 00 00 00 00 00 
[2021.11.18 10:13:02.892] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:02.903] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 59 
[2021.11.18 10:13:02.914] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 5A 
[2021.11.18 10:13:02.925] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 5B 
[2021.11.18 10:13:02.936] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 5C 
[2021.11.18 10:13:02.947] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 5D 
[2021.11.18 10:13:02.958] [Recv] CANID: 0x14180204, 48 31 00 00 00 00 00 00 
[2021.11.18 10:13:02.969] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:02.980] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 5E 
[2021.11.18 10:13:02.991] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 5F 
[2021.11.18 10:13:03.002] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 60 
[2021.11.18 10:13:03.013] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 61 
[2021.11.18 10:13:03.024] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 62 
[2021.11.18 10:13:03.035] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:03.046] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 6D 
[2021.11.18 10:13:03.057] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 6E 
[2021.11.18 10:13:03.068] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 6F 
[2021.11.18 10:13:03.079] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 70 
[2021.11.18 10:13:03.090] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 71 
[2021.11.18 10:13:03.101] [Recv] CANID: 0x14180201, 18 00 00 01 01 01 07 D0 
[2021.11.18 10:13:03.112] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:03.123] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 72 
[2021.11.18 10:13:03.134] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 73 
[2021.11.18 10:13:03.145] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 74 
[2021.11.18 10:13:03.156] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 75 
[2021.11.18 10:13:03.167] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 76 
[2021.11.18 10:13:03.178] [Recv] CANID: 0x14180202, 45 53 49 30 32 37 30 31 
[2021.11.18 10:13:03.189] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:03.200] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 77 
[2021.11.18 10:13:03.211] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 78 
[2021.11.18 10:13:03.222] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 79 
[2021.11.18 10:13:03.233] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 7A 
[2021.11.18 10:13:03.244] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 00 00 00 7B 
[2021.11.18 10:13:03.255] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 AF 
[2021.11.18 10:13:03.266] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B0 
[2021.11.18 10:13:03.280] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B1 
[2021.11.18 10:13:03.292] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B2 
[2021.11.18 10:13:03.303] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B3 
[2021.11.18 10:13:03.314] [Recv] CANID: 0x14180202, 45 53 49 30 32 37 30 31 
[2021.11.18 10:13:03.325] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:03.336] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B4 
[2021.11.18 10:13:03.347] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B5 
[2021.11.18 10:13:03.358] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B6 
[2021.11.18 10:13:03.369] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B7 
[2021.11.18 10:13:03.380] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 B8 
[2021.11.18 10:13:03.391] [Recv] CANID: 0x14180203, 00 00 00 00 00 00 00 00 
[2021.11.18 10:13:03.402] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 D3 
[2021.11.18 10:13:03.413] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 D4 
[2021.11.18 10:13:03.424] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 D5 
[2021.11.18 10:13:03.435] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 D6 
[2021.11.18 10:13:03.446] [Recv] CANID: 0x14180202, 45 53 49 30 32 37 30 31 
[2021.11.18 10:13:03.458] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
[2021.11.18 10:13:03.468] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 D7 
[2021.11.18 10:13:03.479] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 D8 
[2021.11.18 10:13:03.490] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 D9 
[2021.11.18 10:13:03.501] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 DA 
[2021.11.18 10:13:04.412] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 DF 
[2021.11.18 10:13:05.413] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 E4 
[2021.11.18 10:13:05.609] [Recv] CANID: 0x18A1EFF3, 00 00 00 00 10 10 00 E5 
[2021.11.18 10:13:05.813] [Recv] CANID: 0x14180205, 00 00 00 00 00 00 00 00 
[2021.11.18 10:13:05.824] [Recv] CANID: 0x14180223, 00 00 00 00 00 00 05 05 
